method,seed,step,room,room_name,action,external_reward,prediction_error,learning_progress,empowerment,utility,tau,boredom,mode_shift,epsilon,action_entropy,shaped_reward
aed,0,66,2,mastered,2,0.0,0.0,0.03888980535861286,0.7381571770614979,1.1461255709508595,0.2701736005599237,10.924315448489612,0.0,0.65,0.8962174859400186,1.1461255709508595
aed,0,67,2,mastered,2,0.0,0.0,0.03694531509068222,0.7777126306328691,1.2035142610399858,0.27509030386232397,10.815072294004715,0.0,0.65,0.8962174859400186,1.2035142610399858
aed,0,68,2,mastered,2,0.0,0.0,0.03509804933614813,0.8001608399637005,1.2353393092816989,0.2801415488894209,10.706921571064667,0.0,0.65,0.8962174859400186,1.2353393092816989
aed,0,69,1,puzzle,1,0.0,1.0,-0.016656853130659344,0.541571479983705,0.7957003668448982,0.28296934297919824,10.59985235535402,0.0,0.65,0.8962174859400186,0.7957003668448982
aed,0,70,1,puzzle,2,1.0,0.0,0.03417598952587375,0.722301227914293,1.1176278313973131,0.28739263542128884,10.49385383180048,0.0,0.65,0.8962174859400186,2.1176278313973134
aed,0,71,2,mastered,1,0.0,0.0,0.032467190049579986,0.7628082019659873,1.1766794929985611,0.2920890697091752,10.388915293482476,0.0,0.65,0.8962174859400186,1.1766794929985611
aed,0,72,2,mastered,2,0.0,0.0,0.030843830547101048,0.5719022839207905,0.8886972564282867,0.29532211064277075,10.285026140547652,0.0,0.65,0.8962174859400186,0.8886972564282867
aed,0,73,1,puzzle,1,0.0,0.0,0.029301639019745918,0.5960118095312097,0.9233193533165605,0.2987120968561397,10.182175879142175,0.0,0.65,0.8962174859400186,0.9233193533165605
aed,0,74,1,puzzle,2,1.0,0.0,0.02783655706875865,0.7772693889356179,1.1937406404721855,0.3034372395742199,10.080354120350753,0.0,0.65,0.8962174859400186,2.1937406404721855
aed,0,75,1,puzzle,2,1.0,0.0,0.026444729215320706,0.7885754658023144,1.2093079279187924,0.3082165930159428,9.979550579147245,0.0,0.65,0.8962174859400186,2.2093079279187924
aed,0,76,1,puzzle,2,1.0,0.0,0.025122492754554693,0.7977246163051473,1.2217094172122756,0.31303405713692445,9.879755073355772,0.0,0.65,0.8962174859400186,2.2217094172122756
aed,0,77,1,puzzle,0,1.0,0.0,0.023866368116826964,0.8337030403885614,1.274420928699669,0.3180909914947382,9.780957522622215,0.0,0.65,0.8962174859400186,2.2744209286996693
aed,0,78,1,puzzle,2,1.0,0.0,0.022673049710985604,0.8398674126704537,1.282474168716666,0.3231629073808478,9.683147947395993,0.0,0.65,0.8962174859400186,2.282474168716666
aed,0,79,1,puzzle,2,1.0,0.0,0.021539397225436352,0.8451145751933272,1.289211260015427,0.3282431491440207,9.586316467922032,0.0,0.65,0.8962174859400186,2.289211260015427
aed,0,80,1,puzzle,2,1.0,0.0,0.02046242736416448,0.8496516465628686,1.2949398972084674,0.33332663288434294,9.490453303242811,0.0,0.65,0.8962174859400186,2.2949398972084674
aed,0,81,1,puzzle,2,1.0,0.0,0.01943930599595628,0.8536258611404995,1.2998780977067057,0.3384093902084548,9.395548770210382,0.0,0.65,0.8962174859400186,2.2998780977067055
aed,0,82,1,puzzle,2,1.0,0.0,0.018467340696158463,0.8571450894345743,1.3041849748480199,0.3434882681316526,9.301593282508279,0.0,0.65,0.8962174859400186,2.30418497484802
aed,0,83,1,puzzle,2,1.0,0.0,0.01754397366135052,0.8602903827190119,1.3079795477398684,0.3485607245296937,9.208577349683196,0.0,0.65,0.8962174859400186,2.307979547739868
aed,0,84,2,mastered,1,0.0,0.0,0.016666774978283005,0.8752835043753927,1.329592031541372,0.3537158810647521,9.116491576186364,0.0,0.65,0.8962174859400186,1.329592031541372
aed,0,85,2,mastered,2,0.0,0.0,0.01583343622936889,0.6190785885307487,0.944451319025492,0.35691955825455585,9.0253266604245,0.0,0.65,0.8962174859400186,0.944451319025492
aed,0,86,2,mastered,2,0.0,0.0,0.015041764417900394,0.6371320549199714,0.9707398467978574,0.36023865969727237,8.935073393820256,0.0,0.05,0.15405767236812593,0.9707398467978574
aed,0,87,2,mastered,2,0.0,0.0,0.014289676197005385,0.6517612106246604,0.991931492133996,0.363647123859456,8.845722659882053,0.0,0.05,0.15405767236812593,0.991931492133996
aed,0,88,2,mastered,2,0.0,0.0,0.013575192387155155,0.6639305901609792,1.009471077628624,0.3671262436283018,8.757265433283232,0.0,0.05,0.15405767236812593,1.009471077628624
aed,0,89,2,mastered,2,0.0,0.0,0.012896432767797367,0.6742634858279078,1.0242916615096591,0.37066207071770857,8.669692778950399,0.0,0.05,0.15405767236812593,1.0242916615096591
aed,0,90,2,mastered,2,0.0,0.0,0.012251611129407508,0.6831826935207737,1.037025651410568,0.37424388862117286,8.582995851160895,0.0,0.05,0.15405767236812593,1.037025651410568
aed,0,91,2,mastered,2,0.0,0.0,0.011639030572937137,0.6909863377730048,1.0481185372324444,0.3778632618642292,8.497165892649287,0.0,0.05,0.15405767236812593,1.0481185372324444
